EventIndex,Planet1,Aspect,Planet2,Orb,Type
9,Moon,Square,Uranus,3°46’,Applying
9,Moon,Square,Pluto,9°28’,Separating
9,Mercury,Square,Jupiter,1°46’,Separating
9,Mercury,Square,Saturn,4°30’,Applying
9,Mercury,Square,Neptune,1°25’,Separating
9,Venus,Conjunction,Pluto,4°49’,Applying
9,Mars,Trine,Saturn,5°29’,Separating
9,Mars,Trine,Uranus,0°26’,Separating
9,Jupiter,Opposition,Saturn,6°16’,Applying
9,Jupiter,Conjunction,Neptune,0°21’,Applying
9,Jupiter,Sextile,Pluto,1°02’,Separating
9,Saturn,Trine,Uranus,5°56’,Separating
9,Saturn,Opposition,Neptune,5°55’,Applying
9,Neptune,Sextile,Pluto,1°23’,Applying
10,Sun,Conjunction,Mercury,7°18’,Applying
10,Sun,Conjunction,Saturn,7°38’,Applying
10,Sun,Trine,Uranus,9°25’,Separating
10,Moon,Trine,Venus,5°04’,Separating
10,Moon,Square,Mars,8°33’,Applying
10,Moon,Square,Saturn,6°23’,Separating
10,Moon,Opposition,Uranus,6°32’,Applying
10,Mercury,Trine,Uranus,2°06’,Separating
10,Mercury,Square,Neptune,4°13’,Separating
10,Venus,Opposition,Pluto,3°53’,Separating
10,Mars,Square,Uranus,2°01’,Applying
10,Jupiter,Trine,Neptune,0°13’,Separating
11,Sun,Trine,Mars,0°47’,Separating
11,Sun,Square,Saturn,7°05’,Separating
11,Moon,Conjunction,Venus,7°07’,Applying
11,Moon,Opposition,Mars,8°09’,Separating
11,Moon,Square,Jupiter,8°00’,Separating
11,Mercury,Sextile,Uranus,3°28’,Applying
11,Mercury,Square,Neptune,3°31’,Separating
11,Mercury,Sextile,Pluto,2°58’,Separating
11,Venus,Trine,Neptune,4°34’,Applying
11,Venus,Square,Pluto,4°01’,Applying
11,Mars,Square,Jupiter,0°08’,Separating
11,Saturn,Conjunction,Neptune,3°50’,Separating
11,Uranus,Trine,Pluto,6°27’,Applying
12,Sun,Conjunction,Mercury,4°33’,Applying
12,Sun,Conjunction,Jupiter,9°05’,Separating
12,Sun,Square,Uranus,8°44’,Separating
